Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t,t_cpu_avg,t_gpu_avg,t_transfers_avg
Sequential,-1,6.683545,6.652400,6.701695
Naive,32,0.857797,0.733209,1.053851,0.233298,0.618054,0.006436
Naive,48,1.030825,0.890279,1.248484,0.249626,0.774734,0.006455
Naive,64,1.401229,1.283433,1.631329,0.280100,1.113455,0.007664
Naive,128,1.403088,1.245877,1.610333,0.275510,1.120098,0.007470
Naive,238,1.478326,1.371847,1.666668,0.285351,1.185462,0.007502
Naive,512,1.506144,1.404017,1.703167,0.290459,1.207856,0.007820
Naive,1024,1.543811,1.438960,1.752285,0.291491,1.244577,0.007733
Transpose,32,0.611936,0.609108,0.623516,0.195292,0.412096,0.004541
Transpose,48,0.615578,0.612482,0.628948,0.195733,0.415349,0.004488
Transpose,64,0.611769,0.609268,0.626627,0.194768,0.412481,0.004512
Transpose,128,0.611740,0.609776,0.623618,0.194880,0.412288,0.004563
Transpose,238,0.618326,0.616358,0.630714,0.194746,0.419109,0.004462
Transpose,512,0.610867,0.608551,0.622915,0.195276,0.411026,0.004556
Transpose,1024,0.610206,0.608182,0.621026,0.195106,0.410582,0.004510
Shmem,32,0.474352,0.472227,0.484897,0.131788,0.338058,0.004498
Shmem,48,0.464280,0.461997,0.475405,0.132305,0.327457,0.004509
Shmem,64,0.381300,0.379592,0.391549,0.131451,0.245360,0.004480
Shmem,128,0.390080,0.388156,0.400982,0.131628,0.253937,0.004506
Shmem,238,0.554960,0.552564,0.565753,0.133683,0.416620,0.004650
Shmem,512,0.546683,0.545036,0.557995,0.130827,0.411369,0.004479
Shmem,1024,0.546659,0.544663,0.557403,0.131211,0.410932,0.004507
